"no","paal_ta","paal_en","paal_te","iyal_ta","iyal_en","iyal_te","adigaaram_no","adigaaram_ta","adigaaram_en","adigaaram_te","kural_ta","varadarasan","paapaya","kural_en","en_meaning","kural_te","paal_no","iyal_no"
"1","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","1","கடவுள் வாழ்த்து","The Praise of God","Katavul Vaazhththu","அகர முதல எழுத்தெல்லாம் ஆதி
பகவன் முதற்றே உலகு.","எழுத்துக்கள் எல்லாம் அகரத்தை அடிப்படையாக கொண்டிருக்கின்றன. அதுபோல உலகம் கடவுளை அடிப்படையாக கொண்டிருக்கிறது.","எழுத்துக்கள் எல்லாம் அகரத்தில் தொடங்குகின்றன; (அது போல) உலகம் கடவுளில் தொடங்குகிறது.","A, as its first of letters, every speech maintains;
The ""Primal Deity"" is first through all the world's domains ","As the letter A is the first of all letters, so the eternal God is first in the world ","agara Mudhala ezhuththellaam aadhi
Pakavan Mudhatre ulaku","1","1"
"2","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","1","கடவுள் வாழ்த்து","The Praise of God","Katavul Vaazhththu","கற்றதனால் ஆய பயனென்கொல் வாலறிவன்
நற்றாள் தொழாஅர் எனின்.","தூய அறிவு வடிவாக விளங்கும் இறைவனுடைய நல்ல திருவடிகளை தொழாமல் இருப்பாரானால், அவர் கற்ற கல்வியினால் ஆகிய பயன் என்ன?.","தூய அறிவு வடிவானவனின் திருவடிகளை வணங்காதவர், படித்ததனால் பெற்ற பயன்தான் என்ன?.","No fruit have men of all their studied lore,
Save they the 'Purely Wise One's' feet adore ","What Profit have those derived from learning, who worship not the good feet of Him who is possessed of pure knowledge? ","Katradhanaal aaya Payanen kol VaalaRivan
natraal Thozhaaar enin ","1","1"
"3","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","1","கடவுள் வாழ்த்து","The Praise of God","Katavul Vaazhththu","மலர்மிசை ஏகினான் மாணடி சேர்ந்தார்
நிலமிசை நீடுவாழ் வார்.","அன்பரின் அகமாகிய மலரில் வீற்றிருக்கும் கடவுளின் சிறந்த திருவடிகளை பொருந்தி நினைக்கின்றவர், இன்ப உலகில் நிலைத்து வாழ்வார்.","மனமாகிய மலர்மீது சென்று இருப்பவனாகிய கடவுளின் சிறந்த திருவடிகளை எப்போதும் நினைப்பவர் இப்பூமியில் நெடுங்காலம் வாழ்வர்.","His feet, 'Who o'er the full-blown flower hath past,' who gain
In bliss long time shall dwell above this earthly plain ","They who are united to the glorious feet of Him who passes swiftly over the flower of the mind, shall flourish long above all worlds ","Malarmisai Ekinaan MaaNati saerndhaar
nilamisai needuvaazh Vaar","1","1"
"4","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","1","கடவுள் வாழ்த்து","The Praise of God","Katavul Vaazhththu","வேண்டுதல் வேண்டாமை இலானடி சேர்ந்தார்க்கு
யாண்டும் இடும்பை இல.","விருப்பு வெறுப்பு இல்லாத கடவுளின் திருவடிகளை பொருந்தி நினைக்கின்றவர்க்கு எப்போதும் எவ்விடத்திலும் துன்பம் இல்லை.","எதிலும் விருப்பு வெறுப்பு இல்லாத கடவுளின் திருவடிகளை மனத்தால் எப்போதும் நினைப்பவருக்கு உலகத் துன்பம் ஒருபோதும் இல்லை.","His foot, 'Whom want affects not, irks not grief,' who gain
Shall not, through every time, of any woes complain ","To those who meditate the feet of Him who is void of desire or aversion, evil shall never come ","VaeNduthal VaeNdaamai ilaanati saerndhaarkku
YaaNtum idumpai ila","1","1"
"5","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","1","கடவுள் வாழ்த்து","The Praise of God","Katavul Vaazhththu","இருள்சேர் இருவினையும் சேரா இறைவன்
பொருள்சேர் புகழ்புரிந்தார் மாட்டு.","கடவுளின் உண்மைப் புகழை விரும்பி அன்பு செலுத்துகின்றவரிடம் அறியாமையால் விளையும் இருவகை வினையும் சேர்வதில்லை.","கடவுளின் மெய்மைப் புகழையே விரும்புபவரிடம் அறியாமை இருளால் வரும் நல்வினை, தீவினை என்னும் இரண்டும் சேருவதில்லை.","The men, who on the 'King's' true praised delight to dwell,
Affects not them the fruit of deeds done ill or well ","The two-fold deeds that spring from darkness shall not adhere to those who delight in the true praise of God ","iruLsaer iruvinaiyum saeraa iRaivan
PoruLsaer Pukazhpurindhaar Maattu ","1","1"
"6","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","1","கடவுள் வாழ்த்து","The Praise of God","Katavul Vaazhththu","பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க
நெறிநின்றார் நீடுவாழ் வார்."," ஐம்பொறி வாயிலாக பிறக்கும் வேட்கைகளை அவித்த இறைவனுடைய பொய்யற்ற ஒழுக்க நெறியில் நின்றவர், நிலை பெற்ற நல்வாழ்க்கை வாழ்வர்.","மெய், வாய், கண், மூக்கு, செவி ஆகிய ஐந்து பொறிகளின் வழிப் பிறக்கும் தீய ஆசைகளை அழித்து கடவுளின் பொய்யற்ற ஒழுக்க வழியிலே நின்றவர் நெடுங்காலம் வாழ்வார்.","Long live they blest, who 've stood in path from falsehood freed;
His, 'Who quenched lusts that from the sense-gates five proceed' ","Those shall long proposer who abide in the faultless way of Him who has destroyed the five desires of the senses ","PoRivaayil aindhaviththaan Poidheer ozhukka
neRinhindraar needuvaazh Vaar ","1","1"
"7","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","1","கடவுள் வாழ்த்து","The Praise of God","Katavul Vaazhththu","தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால்
மனக்கவலை மாற்றல் அரிது.","தனக்கு ஒப்புமை இல்லாத தலைவனுடைய திருவடிகளைப் பொருந்தி நினைக்கின்றவர் அல்லாமல், மற்றவர்க்கு மனக்கவலையை மாற்ற முடியாது.","தனக்கு இணையில்லாத கடவுளின் திருவடிகளைச் சேர்ந்தவர்க்கே அன்றி, மற்றவர்களுக்கு மனக்கவலையைப் போக்குவது கடினம்.","Unless His foot, 'to Whom none can compare,' men gain,
'Tis hard for mind to find relief from anxious pain ","Anxiety of mind cannot be removed, except from those who are united to the feet of Him who is incomparable ","Thanakkuvamai illaadhaan ThaaLsaerndhaark Kallaal
Manakkavalai Maatral aridhu ","1","1"
"8","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","1","கடவுள் வாழ்த்து","The Praise of God","Katavul Vaazhththu","அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால்
பிறவாழி நீந்தல் அரிது.","அறக்கடலாக விளங்கும் கடவுளின் திருவடிகளைப் பொருந்தி நினைக்கின்றவர் அல்லாமல், மற்றவர் பொருளும் இன்பமுமாகிய மற்ற கடல்களைக் கடக்க முடியாது.","அறக்கடலான கடவுளின் திருவடிகளை சேர்ந்தவரே அல்லாமல் மற்றவர் பிறவியாக கடலை நீந்திக் கடப்பது கடினம்.","Unless His feet 'the Sea of Good, the Fair and Bountiful,' men gain,
'Tis hard the further bank of being's changeful sea to attain ","None can swim the sea of vice, but those who are united to the feet of that gracious Being who is a sea of virtue ","aRavaazhi andhaNan ThaaLsaerndhaark Kallaal
PiRavaazhi neendhal aridhu","1","1"
"9","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","1","கடவுள் வாழ்த்து","The Praise of God","Katavul Vaazhththu","கோளில் பொறியின் குணமிலவே எண்குணத்தான்
தாளை வணங்காத் தலை.","கேட்காதசெவி, பார்க்காத கண் போன்ற எண் குணங்களை உடைய கடவுளின் திருவடிகளை வணங்காதவரின் தலைகள் பயனற்றவைகளாம்.","எண்ணும் நல்ல குணங்களுக்கு எல்லாம் இருப்பிடமான கடவுளின் திருவடிகளை வணங்காத தலைகள், புலன்கள் இல்லாத பொறிகள்போல, இருந்தும் பயன் இல்லாதவையே.","Before His foot, 'the Eight-fold Excellence,' with unbent head,
Who stands, like palsied sense, is to all living functions dead ","The head that worships not the feet of Him who is possessed of eight attributes, is as useless as a sense without the power of sensation ","KoaLil PoRiyin Kunamilave eNkuNaththaan
ThaaLai VaNangaath Thalai ","1","1"
"10","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","1","கடவுள் வாழ்த்து","The Praise of God","Katavul Vaazhththu","பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார்
இறைவன் அடிசேரா தார்.","இறைவனுடைய திருவடிகளை பொருந்தி நினைக்கின்றவர் பிறவியாகிய பெரிய கடலைக் கடக்க முடியும். மற்றவர் கடக்க முடியாது.","கடவுளின் திருவடிகளைச் சேர்ந்தவர் பிறவியாகிய பெருங்கடலை நீந்திக் கடப்பர்; மற்றவர் நீந்தவும் மாட்டார்.","They swim the sea of births, the 'Monarch's' foot who gain;
None others reach the shore of being's mighty main ","None can swim the great sea of births but those who are united to the feet of God ","PiRavip Perungatal neendhuvar neendhaar
iRaivan adiseraa Thaar ","1","1"
